Abbreviation,Reaction,LB (growth with native substrates),UB (growth with native substrates),LB (growth with methane),UB (growth with methane),Notes
PMDPHT,5aprbu[c] + h2o[c] <==> 4r5au[c] + pi[c],0.0,1000,0.0,1000,
PMPK,4ampm[c] + atp[c] <==> 2mahmp[c] + adp[c],0.0,1000,0.0,1000,
PPBNGS,(2) 5aop[c] <==> h[c] + (2) h2o[c] + ppbng[c],0.0,1000,0.0,1000,
PRE2DC,dscl[c] + (2) h[c] <==> (2) co2[c] + ddcdscl[c],0.0,1000,0.0,1000,
PTHPS,ahdt[c] <==> 6pthp[c] + pppi[c],0.0,1000,0.0,1000,
QULNS,dhap[c] + iasp[c] <==> (2) h2o[c] + pi[c] + quln[c]  + h[c],0.0,1000,0.0,1000,
RBFSa,4r5au[c] + db4p[c] <==> dmlz[c] + (2) h2o[c] + pi[c],-1000.0,1000,-1000.0,1000,
RBFSb,(2) dmlz[c] <==> 4r5au[c] + ribflv[c],0.0,1000,0.0,1000,
RZ5PP2,h2o[c] + 5pr5hbz[c] <==> pi[c] + r5hbzi[c],0.0,1000,0.0,1000,
SHCHCC,cobalt2[c] + dscl[c] <==> copre2[c] + (3) h[c],0.0,1000,0.0,1000,
SHCHD2,dscl[c] + nad[c] <==> nadh[c] + scl[c],0.0,1000,0.0,1000,
SHCHF,fe2[c] + scl[c] <==> (4) h[c] + sheme[c],0.0,1000,0.0,1000,
TDP,h2o[c] + thmpp[c] <==> h[c] + pi[c] + thmmp[c],0.0,1000,0.0,1000,
THRPD,h[c] + thrp[c] <==> applp[c] + co2[c],0.0,1000,0.0,1000,
THRPS,atp[c] + thr-L[c] <==> adp[c] + h[c] + thrp[c],0.0,1000,0.0,1000,
THZPSN,atp[c] + cys-L[c] + tyr-L[c] + dxyl5p[c] <==> 4mpetz[c] + ala-L[c] + amp[c] + co2[c] + h[c] + h2o[c] + ppi[c] + 4hba[c],0.0,1000,0.0,1000,
TMKr,atp[c] + thm[c] <==> adp[c] + h[c] + thmmp[c],0.0,1000,0.0,1000,
TMPKr,atp[c] + thmmp[c] <==> adp[c] + thmpp[c],0.0,1000,0.0,1000,
TMPPP,2mahmp[c] + 4mpetz[c] + h[c] <==> ppi[c] + thmmp[c],0.0,1000,0.0,1000,
UPP3MT,(2) amet[c] + uppg3[c] <==> (2) ahcys[c] + dscl[c] + h[c],0.0,1000,0.0,1000,
UPP3S,hmbil[c] <==> h2o[c] + uppg3[c],0.0,1000,0.0,1000,
carb_met,(1.27) glycogen[c] + (0.06) galactan[c] + (2.49) polyacgal[c] + (1.6) polyglcur[c] <==> carb_met[c],0.0,1000,0.0,1000,
dna_met,(0.58) datp[c] + (0.44) dctp[c] + (0.44) dgtp[c] + (0.59) dttp[c] <==> (2.05) ppi[c] + dna_met[c],0.0,1000,0.0,1000,
lipid_met,(0.005) dpgpg[c] + (0.214) 3hdpgpg[c] + (0.027) dpgpi[c] + (0.287) 3hdpgpi[c] + (0.005) dpgpe[c] + (0.057) 3hdpgpe[c] + (0.011) dpgps[c] + (0.244) 3hdpgps[c] + (0.148) gdpgpi[c] <==> lipid_met[c],0.0,1000,0.0,1000,
overall,(0.63) protein_met[c] + (0.24) rna_met[c] + (0.04) dna_met[c] + (0.05) lipid_met[c] + (0.04) trace_met[c] + (0.01) carb_met[c] + (65) h2o[c] + (65) atp[c] <==> biomass[c] + (65) h[c] + (65) adp[c] + (65) pi[c],0.0,1000,0.0,1000,
protein_met,(0.4) arg-L[c] + (0.85) leu-L[c] + (0.62) ser-L[c] + (0.62) ala-L[c] + (0.65) gly[c] + (0.36) pro-L[c] + (0.49) thr-L[c] + (0.62) val-L[c] + (0.66) ile-L[c] + (0.4) asn-L[c] + (0.48) asp-L[c] + (0.11) cys-L[c] + (0.23) gln-L[c] + (0.71) glu-L[c] + (0.15) his-L[c] + (0.59) lys-L[c] + (0.4) phe-L[c] + (0.33) tyr-L[c] + (0.21) met-L[c] + (0.09) trp-L[c] <==> protein_met[c],0.0,1000,0.0,1000,
rna_met,(0.48) atp[c] + (0.42) ctp[c] + (0.5) gtp[c] + (0.6) utp[c] <==> (2) ppi[c] + rna_met[c],0.0,1000,0.0,1000,
trace_met,(0.243) ptrc[c] + (0.044) hspmd[c] + (0.0009) accoa[c] + (0.00006) coa[c] + (0.0204) nad[c] + (0.00093) nadh[c] + (0.00093) nadp[c] + (0.00371) nadph[c] + (0.00003) succoa[c] + (0.00929) amp[c] + (0.191) com[c] + (0.00037) f420-2[c] + (0.00028) f420-3[c] + (0.00371) f420-4[c] + (0.00279) f420-5[c] + (0.00009) f420-6[c] + (0.00001) f420-7[c] + (0.219) h4spt[c] + (0.044) adocblhbi[c] + (0.019) f430[c] + (0.00464) cob[c] + (0.00093) thf[c] + (0.00005) f390a[c] + (0.00005) f390g[c] + (0.191) mfr_b[c] <==> trace_met[c],0.0,1000,0.0,1000,
EX_4abz[e],4abz[e] <==> ,0.0,1000,0.0,1000,
EX_4hphac[e],4hphac[e] <==> ,0.0,1000,0.0,1000,
EX_ac[e],ac[e] <==> ,-10.0,-10,0.0,1000,
EX_actn-R[e],actn-R[e] <==> ,0.0,1000,0.0,1000,
EX_alac-S[e],alac-S[e] <==> ,0.0,1000,0.0,1000,
EX_ala-L[e],ala-L[e] <==> ,0.0,1000,0.0,1000,
EX_biomass,biomass[c] <==> ,0.0,1000,0.0,1000,
EX_btn,btn[e] <==> ,0.0,1000,0.0,1000,
EX_calcium,ca2[e] <==> ,-1000.0,1000,-1000.0,1000,
EX_cbi[e],cbi[e] <==> ,0.0,1000,0.0,1000,
EX_cbl1[e],cbl1[e] <==> ,-1000.0,1000,-1000.0,1000,
EX_cbl1hbi[e],cbl1hbi[e] <==> ,0.0,1000,0.0,1000,
EX_cd2,cd2[e] <==> ,-1000.0,1000,-1000.0,1000,
EX_ch4s[e],ch4s[e] <==> ,0.0,1000,0.0,1000,
EX_ch4[e],ch4[e] <==> ,0.0,1000,-10.0,-10,
EX_cit[e],cit[e] <==> ,0.0,1000,0.0,1000,
EX_chloride,cl[e] <==> ,-1000.0,1000,-1000.0,1000,
EX_co2[e],co2[e] <==> ,0.0,1000,0.0,1000,
EX_co[e],co[e] <==> ,0.0,1000,0.0,1000,
EX_cobalt,cobalt2[e] <==> ,-1000.0,1000,-1000.0,1000,
EX_copper,cu2[e] <==> ,-1000.0,1000,-1000.0,1000,
EX_cys-L[e],cys-L[e] <==> ,0.0,1000,0.0,1000,
EX_dma[e],dma[e] <==> ,0.0,1000,0.0,1000,
EX_dms[e],dms[e] <==> ,0.0,1000,0.0,1000,
EX_etha[e],etha[e] <==> ,0.0,1000,0.0,1000,
EX_fe2[e],fe2[e] <==> ,-1000.0,1000,-1000.0,1000,
EX_fe3[e],fe3[e] <==> ,0.0,1000,0.0,1000,
EX_fol[e],fol[e] <==> ,0.0,1000,0.0,1000,
EX_for[e],for[e] <==> ,0.0,1000,0.0,1000,
EX_gcald[e],gcald[e] <==> ,0.0,1000,0.0,1000,
EX_glcn[e],glcn[e] <==> ,0.0,1000,0.0,1000,
EX_glu-L[e],glu-L[e] <==> ,0.0,1000,0.0,1000,
EX_gly[e],gly[e] <==> ,0.0,1000,0.0,1000,
EX_glyb[e],glyb[e] <==> ,0.0,1000,0.0,1000,
EX_h,h[e] <==> ,-1000.0,1000,-1000.0,1000,
EX_h2[e],h2[e] <==> ,0.0,1000,0.0,1000,
EX_h2o[e],h2o[e] <==> ,-1000.0,1000,-1000.0,1000,
EX_h2s[e],h2s[e] <==> ,-1000.0,1000,-1000.0,1000,
EX_ile-L[e],ile-L[e] <==> ,0.0,1000,0.0,1000,
EX_ind3ac[e],ind3ac[e] <==> ,0.0,1000,0.0,1000,
EX_k,k[e] <==> ,-1000.0,1000,-1000.0,1000,
EX_leu-L[e],leu-L[e] <==> ,0.0,1000,0.0,1000,
EX_lys-L[e],lys-L[e] <==> ,0.0,1000,0.0,1000,
EX_meoh[e],meoh[e] <==> ,0.0,1000,0.0,1000,
EX_mg,mg2[e] <==> ,-1000.0,1000,-1000.0,1000,
EX_mma[e],mma[e] <==> ,0.0,1000,0.0,1000,
EX_mn2[e],mn2[e] <==> ,-1000.0,1000,-1000.0,1000,
EX_mobd[e],mobd[e] <==> ,-1000.0,1000,-1000.0,1000,
EX_n2[e],n2[e] <==> ,-1000.0,1000,-1000.0,1000,
EX_na,na1[e] <==> ,0.0,1000,0.0,1000,
EX_nac[e],nac[e] <==> ,0.0,1000,0.0,1000,
EX_nh4[e],nh4[e] <==> ,-1000.0,1000,-1000.0,1000,
EX_ni2[e],ni2[e] <==> ,-1000.0,1000,-1000.0,1000,
EX_pac[e],pac[e] <==> ,0.0,1000,0.0,1000,
EX_pi,pi[e] <==> ,-1000.0,1000,-1000.0,1000,
EX_pnto-R[e],pnto-R[e] <==> ,0.0,1000,0.0,1000,
EX_proline,pro-L[e] <==> ,0.0,1000,0.0,1000,
EX_pyr[e],pyr[e] <==> ,0.0,1000,0.0,1000,
EX_ribflv[e],ribflv[e] <==> ,0.0,1000,0.0,1000,
EX_so4,so4[e] <==> ,-1000.0,1000,-1000.0,1000,
EX_thm[e],thm[e] <==> ,0.0,1000,0.0,1000,
EX_tma[e],tma[e] <==> ,0.0,1000,0.0,1000,
EX_trp-L[e],trp-L[e] <==> ,0.0,1000,0.0,1000,
EX_unknown_cbl1deg[e],unknown_cbl1deg[e] <==> ,0.0,1000,0.0,1000,
EX_unknown_rbfdeg[e],unknown_rbfdeg[e] <==> ,0.0,1000,0.0,1000,
EX_val-L[e],val-L[e] <==> ,0.0,1000,0.0,1000,
EX_wo4[e],wo4[e] <==> ,-1000.0,1000,-1000.0,1000,
EX_Zn,zn2[e] <==> ,-1000.0,1000,-1000.0,1000,
EX_hco3,hco3[e] <==> ,0.0,1000,0.0,1000,
DM_btoh,btoh[c] <==> ,0.0,0,0.0,1000,
DM_ibtol,ibtol[c] <==> ,0.0,0,0.0,1000,
DM_etoh,etoh[c] <==> ,0.0,0,0.0,1000,
EX_ppa,ppa[c] <==> ,0.0,0,0.0,1000,
EX_ibtyr,ibtyr[c] <==> ,0.0,0,0.0,1000,
EX_btyr,btyr[c] <==> ,0.0,0,0.0,1000,
EX_EAE,eae[c] <==> ,0.0,0,0.0,1000,
HCO3T,hco3[c] <==> hco3[e],-1000.0,1000,-1000.0,1000,
CMTA,h4spt[c] + mcom[c] <==> com[c] + mh4spt[c],0.0,0,0.0,1000,
ANMEMCR,ch4[c] + hsfd[c] <==> mcom[c] + cob[c],0.0,0,0.0,1000,
HDRS,(2) cob[c] + (2) com[c] + (2) fdox[c] + mphen[c] <==> (2) hsfd[c] + (2) fdred[c] + mphenh2[c] + (2) h[c],0.0,0,0.0,1000,
SP_BTOH,(2) accoa[c] + (4) h[c] + (4) nadph[c] <==> btoh[c] + h2o[c] + (2) coa[c] + (4) nadp[c],0.0,0,0.0,1000,
SP_IBTOH1,3mob[c] + h[c] <==> ibtal[c] + co2[c],0.0,0,0.0,1000,
SP_IBTOH2,ibtal[c] + nadph[c] + h[c] <==> ibtol[c] + nadp[c],0.0,0,0.0,1000,
SP_ETOH,accoa[c] + (2) h[c] + (2) nadh <==> etoh[c] + coa[c] + (2) nad[c],0.0,0,0.0,1000,
IBCOAL,ibcoa[c] + adp[c] + pi[c] <==> ibtyr[c] + atp[c] + coa[c],0.0,0,0.0,1000,
BTYR,(2) accoa[c] + (2) nadph[c] + (2) h[c] + adp[c] + pi[c] <==> btyr[c] + h2o[c] + (2) coa[c] + (2) nadp[c] + atp[c],0.0,0,0.0,1000,
HDRDE_rev,(1) cob[c] + (1) com[c] + (1) mphen[c] <==> (1) hsfd[c] + (1) mphenh2[c],0.0,0,0.0,1000,
RNF_rev,(2) mphenh2[c] + (2) fdox[c] + (0) h[c] <==> (2) mphen[c] + (2) fdred[c] + eae[c] + (2) h[e],0.0,0,0.0,1000,
ETR_MPR,mphenh2[c] + (x) h[c] <==> mphen[c] + eae[c] + (y) h[e],0.0,0,0.0,1000,(x=0 and y=2) for ferric; (x=0 and y=0) for nitrate and sulfate; (x=2 and y=0) for mno2
HYP_HYD1,com[c] + cob[c] <==> hsfd[c] + h2[c],0.0,0,0.0,0,this reaction should be on only when testing the possibility of hydrogen as the electron acceptor in the system
HYP_HYD2,f420-2h2[c] <==> f420-2[c] + h2[c] + h[c],0.0,0,0.0,0,this reaction should be on only when testing the possibility of hydrogen as the electron acceptor in the system
ETR_H2,h2[c] + (x) h[c] <==> eae[c] + (y) h[e],0.0,0,0.0,0,(x=0 and y=2) for ferric; (x=0 and y=0) for nitrate and sulfate; (x=2 and y=0) for mno2 - this reaction should be on only when testing the possibility of hydrogen as the electron acceptor in the system
